"","leg_id","full_name","first_name","middle_name","last_name","suffixes","nickname","active","state.x","chamber.x","district.x","party.x","photo_url","created_at","updated_at","type","term","committee_id","committee","subcommittee","start_date","end_date"
"1","TXL000202","Dan Patrick","Dan","","Patrick","","",TRUE,"tx","",NA,"","http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1430.jpg","2010-06-19 03:51:42.093000","2016-05-02 08:30:02.127000","member",83,"","","",NA,""
"2","TXL000214","Alma Allen","Alma A.","","Allen","","",TRUE,"tx","lower",131,"Democratic","http://www.house.state.tx.us/photos/members/2100.jpg","2010-06-19 03:51:42.133000","2017-06-01 10:38:26.476000","member",85,"","","",NA,""
"3","TXL000215","Roberto Alonzo","Roberto R.","","Alonzo","","",TRUE,"tx","lower",104,"Democratic","http://www.house.state.tx.us/photos/members/2125.jpg","2010-06-19 03:51:42.135000","2017-06-01 10:38:26.825000","member",85,"","","",NA,""
"4","TXL000216","Carol Alvarado","Carol","","Alvarado","","",TRUE,"tx","lower",145,"Democratic","http://www.house.state.tx.us/photos/members/2135.jpg","2010-06-19 03:51:42.137000","2017-06-01 10:38:25.930000","member",85,"","","",NA,""
"5","TXL000217","Rafael Anchia","Rafael","","Anchia","","",TRUE,"tx","lower",103,"Democratic","http://www.house.state.tx.us/photos/members/2150.jpg","2010-06-19 03:51:42.140000","2017-06-01 10:38:26.780000","member",85,"","","",NA,""
"6","TXL000218","Charles Anderson","Charles """"Doc""""","","Anderson","","Doc",TRUE,"tx","lower",56,"Republican","http://www.house.state.tx.us/photos/members/2155.jpg","2010-06-19 03:51:42.142000","2017-06-01 10:38:26.510000","member",85,"","","",NA,""
"7","TXL000221","Dwayne Bohac","Dwayne","","Bohac","","",TRUE,"tx","lower",138,"Republican","http://www.house.state.tx.us/photos/members/2230.jpg","2010-06-19 03:51:42.149000","2017-06-01 10:38:26.452000","member",85,"","","",NA,""
"8","TXL000223","Dennis Bonnen","Dennis","","Bonnen","","",TRUE,"tx","lower",25,"Republican","http://www.house.state.tx.us/photos/members/2250.jpg","2010-06-19 03:51:42.154000","2017-06-01 10:38:26.551000","member",85,"","","",NA,""
"9","TXL000228","Angie Chen Button","Angie Chen","","Button","","",TRUE,"tx","lower",112,"Republican","http://www.house.state.tx.us/photos/members/2510.jpg","2010-06-19 03:51:42.181000","2017-06-01 10:38:25.932000","member",85,"","","",NA,""
"10","TXL000235","Garnet Coleman","Garnet F.","","Coleman","","",TRUE,"tx","lower",147,"Democratic","http://www.house.state.tx.us/photos/members/2435.jpg","2010-06-19 03:51:42.198000","2017-06-01 10:38:25.974000","member",85,"","","",NA,""
"11","TXL000236","Byron Cook","Byron","","Cook","","",TRUE,"tx","lower",8,"Republican","http://www.house.state.tx.us/photos/members/2450.jpg","2010-06-19 03:51:42.201000","2017-06-01 10:38:26.829000","member",85,"","","",NA,""
"12","TXL000239","Tom Craddick","Tom","","Craddick","","",TRUE,"tx","lower",82,"Republican","http://www.house.state.tx.us/photos/members/2610.jpg","2010-06-19 03:51:42.207000","2017-06-01 10:38:26.697000","member",85,"","","",NA,""
"13","TXL000242","Drew Darby","Drew","","Darby","","",TRUE,"tx","lower",72,"Republican","http://www.house.state.tx.us/photos/members/2645.jpg","2010-06-19 03:51:42.215000","2017-06-01 10:38:26.455000","member",85,"","","",NA,""
"14","TXL000244","Yvonne Davis","Yvonne","","Davis","","",TRUE,"tx","lower",111,"Democratic","http://www.house.state.tx.us/photos/members/2625.jpg","2010-06-19 03:51:42.219000","2017-06-01 10:38:26.450000","member",85,"","","",NA,""
"15","TXL000245","Joe Deshotel","Joe","","Deshotel","","",TRUE,"tx","lower",22,"Democratic","http://www.house.state.tx.us/photos/members/2690.jpg","2010-06-19 03:51:42.221000","2017-06-01 10:38:26.522000","member",85,"","","",NA,""
"16","TXL000247","Dawnna Dukes","Dawnna","","Dukes","","",TRUE,"tx","lower",46,"Democratic","http://www.house.state.tx.us/photos/members/2665.jpg","2010-06-19 03:51:42.226000","2017-06-01 10:38:26.784000","member",85,"","","",NA,""
"17","TXL000249","Harold Dutton Jr.","Harold","","Dutton","V. Jr.","",TRUE,"tx","lower",142,"Democratic","http://www.house.state.tx.us/photos/members/2650.jpg","2010-06-19 03:51:42.250000","2017-06-01 10:35:57.450000","member",85,"","","",NA,""
"18","TXL000253","Gary Elkins","Gary","","Elkins","","",TRUE,"tx","lower",135,"Republican","http://www.house.state.tx.us/photos/members/2785.jpg","2010-06-19 03:51:42.260000","2017-06-01 10:38:25.990000","member",85,"","","",NA,""
