"","VTD","D","G","L","R","W","winner","winningvotes","totalvotes","winningpercent","dpercent","gpercent","lpercent","rpercent","wpercent"
"1","0001",27130,447,2120,64943,486,"R",64943,94640,0.69,0.29,0,0.02,0.69,0.01
"2","0001A",1412,30,123,1221,9,"D",1412,2786,0.51,0.51,0.01,0.04,0.44,0
"3","0001B",14,1,1,107,0,"R",107,123,0.87,0.11,0.01,0.01,0.87,0
"4","0002",29185,504,2392,70944,459,"R",70944,103025,0.69,0.28,0,0.02,0.69,0
"5","0002A",32,0,0,115,0,"R",115,147,0.78,0.22,0,0,0.78,0
"6","0002B",533,6,17,279,0,"D",533,835,0.64,0.64,0.01,0.02,0.33,0
"7","0002C",2,0,1,16,0,"R",16,19,0.84,0.11,0,0.05,0.84,0
"8","0002D",1,0,0,6,0,"R",6,7,0.86,0.14,0,0,0.86,0
"9","0003",27864,479,2140,58954,513,"R",58954,89437,0.66,0.31,0.01,0.02,0.66,0.01
"10","0003A",66,2,11,363,4,"R",363,442,0.82,0.15,0,0.02,0.82,0.01
"11","0003B",5,0,1,80,0,"R",80,86,0.93,0.06,0,0.01,0.93,0
"12","0004",23267,421,1971,56939,397,"R",56939,82598,0.69,0.28,0.01,0.02,0.69,0
"13","0004A",478,3,22,729,0,"R",729,1232,0.59,0.39,0,0.02,0.59,0
"14","0004B",39,0,2,98,0,"R",98,139,0.71,0.28,0,0.01,0.71,0
"15","0005",17166,295,1437,45328,313,"R",45328,64226,0.71,0.27,0,0.02,0.71,0
"16","0006",17980,261,1427,43681,315,"R",43681,63349,0.69,0.28,0,0.02,0.69,0
"17","0007",17982,299,1433,43717,334,"R",43717,63431,0.69,0.28,0,0.02,0.69,0.01
"18","0007A",84,1,14,375,1,"R",375,474,0.79,0.18,0,0.03,0.79,0
"19","0007B",87,2,15,378,1,"R",378,482,0.78,0.18,0,0.03,0.78,0
"20","0008",16822,323,1492,43036,391,"R",43036,61673,0.7,0.27,0.01,0.02,0.7,0.01
"21","0008A",82,3,13,567,2,"R",567,665,0.85,0.12,0,0.02,0.85,0
"22","0008B",35,2,7,323,2,"R",323,367,0.88,0.1,0.01,0.02,0.88,0.01
"23","0009",17352,264,1460,42968,380,"R",42968,62044,0.69,0.28,0,0.02,0.69,0.01
"24","0010",18376,304,1335,38254,293,"R",38254,58269,0.66,0.32,0.01,0.02,0.66,0.01
"25","0010A",289,6,12,344,5,"R",344,651,0.53,0.44,0.01,0.02,0.53,0.01
"26","0010B",678,11,52,434,16,"D",678,1175,0.58,0.58,0.01,0.04,0.37,0.01
"27","0011",16041,282,1393,35013,397,"R",35013,52729,0.66,0.3,0.01,0.03,0.66,0.01
"28","0012",14355,240,1268,35937,362,"R",35937,51800,0.69,0.28,0,0.02,0.69,0.01
"29","0013",14234,266,1335,31960,316,"R",31960,47795,0.67,0.3,0.01,0.03,0.67,0.01
"30","0014",14786,222,1176,34144,312,"R",34144,50328,0.68,0.29,0,0.02,0.68,0.01
"31","0015",10563,176,1019,30706,266,"R",30706,42464,0.72,0.25,0,0.02,0.72,0.01
"32","0016",11837,232,1100,32745,375,"R",32745,45914,0.71,0.26,0.01,0.02,0.71,0.01
"33","0017",12699,214,950,25741,221,"R",25741,39604,0.65,0.32,0.01,0.02,0.65,0.01
"34","0018",11744,195,953,28309,192,"R",28309,41201,0.69,0.29,0,0.02,0.69,0
"35","0019",14066,241,1249,31320,293,"R",31320,46876,0.67,0.3,0.01,0.03,0.67,0.01
"36","001A",3143,51,251,7440,76,"R",7440,10885,0.68,0.29,0,0.02,0.68,0.01
"37","001B",2848,43,244,6921,67,"R",6921,10056,0.69,0.28,0,0.02,0.69,0.01
"38","001C",3047,47,203,4253,44,"R",4253,7550,0.56,0.4,0.01,0.03,0.56,0.01
"39","001D",769,11,71,2509,16,"R",2509,3360,0.75,0.23,0,0.02,0.75,0
"40","001E",887,6,77,2037,13,"R",2037,3007,0.68,0.29,0,0.03,0.68,0
"41","001F",187,9,11,722,0,"R",722,929,0.78,0.2,0.01,0.01,0.78,0
"42","001G",50,0,2,255,0,"R",255,307,0.83,0.16,0,0.01,0.83,0
"43","001H",27,1,2,307,4,"R",307,337,0.91,0.08,0,0.01,0.91,0.01
"44","001I",12,0,1,97,2,"R",97,110,0.88,0.11,0,0.01,0.88,0.02
"45","001M",316,2,18,847,0,"R",847,1183,0.72,0.27,0,0.02,0.72,0
"46","001N",513,9,48,1698,11,"R",1698,2268,0.75,0.23,0,0.02,0.75,0
"47","001S",206,2,16,843,2,"R",843,1067,0.79,0.19,0,0.01,0.79,0
"48","001T",202,4,14,737,1,"R",737,957,0.77,0.21,0,0.01,0.77,0
"49","001W",205,3,26,671,2,"R",671,905,0.74,0.23,0,0.03,0.74,0
"50","0020",12939,210,849,19298,166,"R",19298,33296,0.58,0.39,0.01,0.03,0.58,0
"51","0021",11441,217,1075,25368,285,"R",25368,38101,0.67,0.3,0.01,0.03,0.67,0.01
"52","0022",12213,205,959,24231,213,"R",24231,37608,0.64,0.32,0.01,0.03,0.64,0.01
"53","0023",8632,159,832,21412,196,"R",21412,31035,0.69,0.28,0.01,0.03,0.69,0.01
"54","0024",9456,210,906,20682,208,"R",20682,31254,0.66,0.3,0.01,0.03,0.66,0.01
"55","0025",9007,160,757,19347,240,"R",19347,29271,0.66,0.31,0.01,0.03,0.66,0.01
"56","0026",10060,214,748,18069,122,"R",18069,29091,0.62,0.35,0.01,0.03,0.62,0
"57","0027",10091,170,865,18849,233,"R",18849,29975,0.63,0.34,0.01,0.03,0.63,0.01
"58","0028",6954,124,653,17431,191,"R",17431,25162,0.69,0.28,0,0.03,0.69,0.01
"59","0029",8108,190,692,16429,192,"R",16429,25419,0.65,0.32,0.01,0.03,0.65,0.01
"60","002A",2618,45,184,5717,49,"R",5717,8564,0.67,0.31,0.01,0.02,0.67,0.01
"61","002B",1156,37,122,3687,18,"R",3687,5002,0.74,0.23,0.01,0.02,0.74,0
"62","002BA",101,2,3,26,0,"D",101,132,0.77,0.77,0.02,0.02,0.2,0
"63","002BB",203,1,3,51,0,"D",203,258,0.79,0.79,0,0.01,0.2,0
"64","002BC",812,7,22,199,0,"D",812,1040,0.78,0.78,0.01,0.02,0.19,0
"65","002C",2502,51,216,5596,59,"R",5596,8365,0.67,0.3,0.01,0.03,0.67,0.01
"66","002D",295,7,31,1351,13,"R",1351,1684,0.8,0.18,0,0.02,0.8,0.01
"67","002E",236,7,29,1477,10,"R",1477,1749,0.84,0.13,0,0.02,0.84,0.01
"68","002F",13,0,4,114,0,"R",114,131,0.87,0.1,0,0.03,0.87,0
"69","002G",77,2,2,299,1,"R",299,380,0.79,0.2,0.01,0.01,0.79,0
"70","0030",8145,170,845,15925,255,"R",15925,25085,0.63,0.32,0.01,0.03,0.63,0.01
"71","0030A",424,12,83,3012,31,"R",3012,3531,0.85,0.12,0,0.02,0.85,0.01
"72","0030B",5,0,0,48,0,"R",48,53,0.91,0.09,0,0,0.91,0
"73","0030C",14,1,3,101,1,"R",101,119,0.85,0.12,0.01,0.03,0.85,0.01
"74","0031",8503,185,844,16911,312,"R",16911,26443,0.64,0.32,0.01,0.03,0.64,0.01
"75","0032",8229,202,817,13992,172,"R",13992,23240,0.6,0.35,0.01,0.04,0.6,0.01
"76","0033",9040,156,962,18915,270,"R",18915,29073,0.65,0.31,0.01,0.03,0.65,0.01
"77","0034",9674,209,838,13535,213,"R",13535,24256,0.56,0.4,0.01,0.03,0.56,0.01
"78","0035",7376,159,742,12283,150,"R",12283,20560,0.6,0.36,0.01,0.04,0.6,0.01
"79","0036",8839,180,635,10403,180,"R",10403,20057,0.52,0.44,0.01,0.03,0.52,0.01
"80","0037",5822,107,404,7845,122,"R",7845,14178,0.55,0.41,0.01,0.03,0.55,0.01
"81","0038",7087,138,545,9154,167,"R",9154,16924,0.54,0.42,0.01,0.03,0.54,0.01
"82","0039",8021,140,604,9056,113,"R",9056,17821,0.51,0.45,0.01,0.03,0.51,0.01
"83","003A",2714,42,170,4470,27,"R",4470,7396,0.6,0.37,0.01,0.02,0.6,0
"84","003B",3002,33,178,4806,54,"R",4806,8019,0.6,0.37,0,0.02,0.6,0.01
"85","003C",1583,24,155,6256,72,"R",6256,8018,0.78,0.2,0,0.02,0.78,0.01
"86","003D",1617,30,154,5267,53,"R",5267,7068,0.75,0.23,0,0.02,0.75,0.01
"87","003E",60,3,6,748,4,"R",748,817,0.92,0.07,0,0.01,0.92,0
"88","003F",26,1,5,297,3,"R",297,329,0.9,0.08,0,0.02,0.9,0.01
"89","003G",39,1,10,335,2,"R",335,385,0.87,0.1,0,0.03,0.87,0.01
"90","003I",83,4,12,747,7,"R",747,846,0.88,0.1,0,0.01,0.88,0.01
"91","003M",132,4,15,710,2,"R",710,861,0.82,0.15,0,0.02,0.82,0
"92","003N",313,5,36,1589,8,"R",1589,1943,0.82,0.16,0,0.02,0.82,0
"93","003S",60,3,10,212,0,"R",212,285,0.74,0.21,0.01,0.04,0.74,0
"94","0040",9177,186,938,17302,255,"R",17302,27603,0.63,0.33,0.01,0.03,0.63,0.01
"95","0041",6075,89,477,11210,142,"R",11210,17851,0.63,0.34,0,0.03,0.63,0.01
"96","0041A",68,1,4,28,1,"D",68,101,0.67,0.67,0.01,0.04,0.28,0.01
"97","0041B",441,7,27,184,7,"D",441,659,0.67,0.67,0.01,0.04,0.28,0.01
"98","0042",5503,80,312,7905,102,"R",7905,13800,0.57,0.4,0.01,0.02,0.57,0.01
"99","0043",6981,128,555,10087,176,"R",10087,17751,0.57,0.39,0.01,0.03,0.57,0.01
"100","0044",8624,172,723,12857,180,"R",12857,22376,0.57,0.39,0.01,0.03,0.57,0.01
"101","0045",8009,153,565,8621,156,"R",8621,17348,0.5,0.46,0.01,0.03,0.5,0.01
"102","0045A",116,4,24,475,4,"R",475,619,0.77,0.19,0.01,0.04,0.77,0.01
"103","0045B",55,2,11,217,1,"R",217,285,0.76,0.19,0.01,0.04,0.76,0
"104","0046",6560,126,549,9128,163,"R",9128,16363,0.56,0.4,0.01,0.03,0.56,0.01
"105","0047",6006,112,506,6949,121,"R",6949,13573,0.51,0.44,0.01,0.04,0.51,0.01
"106","0048",5692,91,345,4856,110,"D",5692,10984,0.52,0.52,0.01,0.03,0.44,0.01
"107","0049",4260,76,365,5794,118,"R",5794,10495,0.55,0.41,0.01,0.03,0.55,0.01
"108","004A",3015,60,277,7160,97,"R",7160,10512,0.68,0.29,0.01,0.03,0.68,0.01
"109","004B",2375,43,171,5194,30,"R",5194,7783,0.67,0.31,0.01,0.02,0.67,0
"110","004C",1578,17,109,3151,38,"R",3151,4855,0.65,0.33,0,0.02,0.65,0.01
"111","004D",1240,24,68,2699,25,"R",2699,4031,0.67,0.31,0.01,0.02,0.67,0.01
"112","004E",228,11,42,1413,11,"R",1413,1694,0.83,0.13,0.01,0.02,0.83,0.01
"113","004F",164,4,30,952,15,"R",952,1150,0.83,0.14,0,0.03,0.83,0.01
"114","004G",132,1,23,1042,17,"R",1042,1198,0.87,0.11,0,0.02,0.87,0.01
"115","004M",25,0,5,106,0,"R",106,136,0.78,0.18,0,0.04,0.78,0
"116","004W",103,1,15,623,2,"R",623,742,0.84,0.14,0,0.02,0.84,0
"117","0050",10739,157,601,8720,145,"D",10739,20217,0.53,0.53,0.01,0.03,0.43,0.01
"118","0051",5309,92,414,6359,96,"R",6359,12174,0.52,0.44,0.01,0.03,0.52,0.01
