leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
TXL000182,member,81,22,upper,tx,Republican,,,,,
TXL000182,committee member,81,,upper,tx,,,Committee of the Whole Senate,,,
TXL000182,committee member,81,,upper,tx,,,Education,,,
TXL000182,committee member,81,,upper,tx,,,Environmental Flows (Cochair),,,
TXL000182,committee member,81,,upper,tx,,,Finance,,,
TXL000182,committee member,81,,upper,tx,,,Higher Education,,,
TXL000182,committee member,81,,upper,tx,,,Natural Resources (Chair),,,
TXL000182,committee member,81,,upper,tx,,,Oversight of Edwards Aquifer (Cochair),,,
TXL000183,member,82,16,upper,tx,Republican,,,,,
TXL000183,committee member,82,,upper,tx,,TXC000039,Business & Commerce,,,
TXL000183,committee member,82,,upper,tx,,,Business & Commerce,,,
TXL000183,committee member,82,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000183,committee member,82,,upper,tx,,TXC000051,Criminal Justice,,,
TXL000183,committee member,82,,upper,tx,,TXC000036,Education,,,
TXL000183,committee member,82,,upper,tx,,TXC000048,Jurisprudence,,,
TXL000183,committee member,82,,upper,tx,,TXC000119,"Oversight of Higher Ed Governance, Excellence & Transparency",,,
TXL000183,committee member,82,,upper,tx,,TXC000066,Oversight of Windstorm Insurance,,,
TXL000183,committee member,82,,upper,tx,,TXC000045,"Redistricting, Select",,,
TXL000183,committee member,82,,upper,tx,,TXC000126,Seacoast Territory Insurance,,,
TXL000183,member,83,16,upper,tx,Republican,,,,,
TXL000183,committee member,83,,upper,tx,,TXC000103,Administration,,,
TXL000183,committee member,83,,upper,tx,,TXC000039,Business & Commerce,,,
TXL000183,committee member,83,,upper,tx,,,Business & Commerce,,,
TXL000183,committee member,83,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000183,committee member,83,,upper,tx,,TXC000051,Criminal Justice,,,
TXL000183,committee member,83,,upper,tx,,TXC000048,Jurisprudence,,,
TXL000183,committee member,83,,upper,tx,,TXC000044,Nominations,,,
TXL000183,committee member,83,,upper,tx,,TXC000168,"Redistricting, Select",,,
TXL000183,member,81,16,upper,tx,Republican,,,,,
TXL000183,committee member,81,,upper,tx,,,Committee of the Whole Senate,,,
TXL000183,committee member,81,,upper,tx,,,Criminal Justice,,,
TXL000183,committee member,81,,upper,tx,,,Jurisprudence,,,
TXL000183,committee member,81,,upper,tx,,,Oversight of Windstorm Insurance,,,
TXL000183,committee member,81,,upper,tx,,,"Redistricting, Select",,,
TXL000183,committee member,81,,upper,tx,,,State Affairs,,,
TXL000183,committee member,81,,upper,tx,,,Transportation & Homeland Security,,,
TXL000184,member,82,10,upper,tx,Democratic,,,,,
TXL000184,committee member,82,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000184,committee member,82,,upper,tx,,TXC000036,Education,,,
TXL000184,committee member,82,,upper,tx,,TXC000037,International Relations & Trade,,,
TXL000184,committee member,82,,upper,tx,,TXC000143,Open Government,,,
TXL000184,committee member,82,,upper,tx,,TXC000142,Transportation,,,
TXL000184,committee member,82,,upper,tx,,TXC000030,Veteran Affairs & Military Installations,,,
TXL000184,member,83,10,upper,tx,Democratic,,,,,
TXL000184,committee member,83,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000184,committee member,83,,upper,tx,,TXC000041,Economic Development,,,
TXL000184,committee member,83,,upper,tx,,TXC000143,Open Government,,,
TXL000184,committee member,83,,upper,tx,,TXC000142,Transportation,,,
TXL000184,committee member,83,,upper,tx,,TXC000030,Veteran Affairs & Military Installations,,,
TXL000184,member,81,10,upper,tx,Democratic,,,,,
TXL000184,committee member,81,,upper,tx,,,Education,,,
TXL000184,committee member,81,,upper,tx,,,International Relations & Trade,,,
TXL000184,committee member,81,,upper,tx,,,International Relations & Trade,,,
TXL000184,committee member,81,,upper,tx,,,Transportation & Homeland Security,,,
TXL000184,committee member,81,,upper,tx,,,Veteran Affairs & Military Installations,,,
TXL000184,committee member,81,,upper,tx,,,"Veterans Health, Select",,,
TXL000185,member,82,2,upper,tx,Republican,,,,,
TXL000185,committee member,82,,upper,tx,,TXC000129,Alzheimer's Disease,,,
TXL000185,committee member,82,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000185,committee member,82,,upper,tx,,TXC000041,Economic Development,,,
TXL000185,committee member,82,,upper,tx,,TXC000140,"Economic Development, Select",,,
TXL000185,committee member,82,,upper,tx,,TXC000042,Finance,,,
TXL000185,committee member,82,,upper,tx,,TXC000117,Finance-S/C on Articles VI & VII,,,
TXL000185,committee member,82,,upper,tx,,TXC000113,Finance-S/C on Fiscal Matters,,,
TXL000185,committee member,82,,upper,tx,,TXC000114,Finance-S/C on Medicaid,,,
TXL000185,committee member,82,,upper,tx,,TXC000050,Health & Human Services,,,
TXL000185,committee member,82,,upper,tx,,TXC000043,Natural Resources,,,
TXL000185,committee member,82,,upper,tx,,TXC000044,Nominations,,,
TXL000185,committee member,82,,upper,tx,,,Nominations,,,
TXL000185,committee member,82,,joint,tx,,TXC000112,Oversight of HHS Eligibility System,,,
TXL000185,committee member,82,,upper,tx,,TXC000131,Oversight of Medicaid Reform Waiver,,,
TXL000185,committee member,82,,upper,tx,,TXC000135,Public School Finance System,,,
TXL000185,committee member,82,,upper,tx,,TXC000049,State Affairs,,,
TXL000185,member,83,2,upper,tx,Republican,,,,,
TXL000185,committee member,83,,upper,tx,,TXC000187,Coastal Barrier System,,,
TXL000185,committee member,83,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000185,committee member,83,,upper,tx,,TXC000041,Economic Development,,,
TXL000185,committee member,83,,upper,tx,,TXC000042,Finance,,,
TXL000185,committee member,83,,upper,tx,,TXC000050,Health & Human Services,,,
TXL000185,committee member,83,,upper,tx,,TXC000043,Natural Resources,,,
TXL000185,committee member,83,,upper,tx,,TXC000049,State Affairs,,,
TXL000185,member,81,2,upper,tx,Republican,,,,,
TXL000185,committee member,81,,upper,tx,,,"Dyslexia & Related Disorders, Interim",,,
TXL000185,committee member,81,,upper,tx,,,"Dyslexia & Related Disorders, Interim",,,
TXL000185,committee member,81,,upper,tx,,,Economic Development,,,
TXL000185,committee member,81,,upper,tx,,,Finance,,,
TXL000185,committee member,81,,upper,tx,,,Health & Human Services,,,
TXL000185,committee member,81,,upper,tx,,,Natural Resources,,,
TXL000185,committee member,81,,upper,tx,,,Nominations,,,
TXL000185,committee member,81,,upper,tx,,,Oversight of HHS Eligibility System,,,
TXL000185,committee member,81,,upper,tx,,,State Affairs,,,
TXL000186,Lt. Governor,84,,,tx,Republican,,,,,
TXL000186,Lt. Governor,82,,,tx,Republican,,,,,
TXL000186,committee member,82,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000186,Lt. Governor,83,,,tx,Republican,,,,,
TXL000186,committee member,83,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000186,Lt. Governor,81,,,tx,Republican,,,,,
TXL000187,member,82,28,upper,tx,Republican,,,,,
TXL000187,committee member,82,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000187,committee member,82,,upper,tx,,TXC000042,Finance,,,
TXL000187,committee member,82,,upper,tx,,TXC000113,Finance-S/C on Fiscal Matters,,,
